               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051867,            0.030846,                   0,             0.53513,             0.56667,             0.55573,             0.18247,            0.050308,            0.019761,                   0,              0.0838,              0.0018,              0.0018
                   1,            0.055259,            0.034733,                   0,             0.57759,             0.66667,             0.58956,             0.21149,            0.049269,            0.019203,                   0,            0.066639,            0.003639,            0.003639
                   2,            0.052674,            0.032143,                   0,             0.39604,             0.65589,             0.50763,             0.17779,            0.049178,            0.018887,                   0,            0.049415,           0.0054152,           0.0054152
                   3,            0.060126,            0.031667,                   0,             0.39604,             0.65589,             0.50763,             0.17779,            0.049178,            0.018887,                   0,            0.032129,           0.0071287,           0.0071287
                   4,            0.055309,            0.027333,                   0,             0.62949,             0.56667,             0.56695,             0.22577,            0.048297,            0.019051,                   0,             0.01478,           0.0087796,           0.0087796
                   5,             0.05284,            0.025896,                   0,             0.18972,             0.73333,             0.18202,            0.047633,            0.062915,             0.01761,                   0,            0.009175,            0.009175,            0.009175
                   6,            0.069505,            0.026692,                   0,             0.18972,             0.73333,             0.18202,            0.047633,            0.062915,             0.01761,                   0,            0.009175,            0.009175,            0.009175
                   7,            0.059787,            0.026845,                   0,             0.36815,             0.46667,             0.38035,             0.12124,            0.051694,            0.019137,                   0,             0.00901,             0.00901,             0.00901
                   8,              0.0574,            0.028861,                   0,             0.36815,             0.46667,             0.38035,             0.12124,            0.051694,            0.019137,                   0,            0.008845,            0.008845,            0.008845
                   9,            0.056178,            0.023656,                   0,             0.45239,                 0.6,             0.40403,             0.14446,            0.050774,            0.019242,                   0,             0.00868,             0.00868,             0.00868
                  10,            0.058896,            0.030593,                   0,             0.27573,             0.63333,             0.26833,            0.082784,            0.059982,             0.01787,                   0,            0.008515,            0.008515,            0.008515
                  11,            0.057381,            0.027423,                   0,             0.27573,             0.63333,             0.26833,            0.082784,            0.059982,             0.01787,                   0,             0.00835,             0.00835,             0.00835
                  12,            0.061717,            0.028777,                   0,             0.32061,             0.66667,             0.44249,             0.14473,            0.051081,            0.019889,                   0,            0.008185,            0.008185,            0.008185
                  13,            0.057036,            0.028825,                   0,             0.32061,             0.66667,             0.44249,             0.14473,            0.051081,            0.019889,                   0,             0.00802,             0.00802,             0.00802
                  14,            0.053048,            0.025815,                   0,             0.51963,             0.56667,             0.54526,             0.18574,             0.05123,            0.020275,                   0,            0.007855,            0.007855,            0.007855
                  15,            0.053438,            0.028771,                   0,             0.25594,                 0.5,             0.27965,            0.066929,            0.059755,            0.018392,                   0,             0.00769,             0.00769,             0.00769
                  16,            0.058618,            0.024911,                   0,             0.25594,                 0.5,             0.27965,            0.066929,            0.059755,            0.018392,                   0,            0.007525,            0.007525,            0.007525
                  17,            0.057717,             0.02611,                   0,             0.36463,             0.42108,             0.37149,             0.11827,            0.056708,            0.019186,                   0,             0.00736,             0.00736,             0.00736
                  18,            0.059186,            0.026383,                   0,             0.36463,             0.42108,             0.37149,             0.11827,            0.056708,            0.019186,                   0,            0.007195,            0.007195,            0.007195
                  19,            0.060131,            0.028321,                   0,             0.39896,                 0.5,             0.42219,             0.13989,            0.052644,             0.01939,                   0,             0.00703,             0.00703,             0.00703
                  20,             0.05678,            0.031434,                   0,             0.46047,             0.63333,             0.51451,             0.16891,            0.050677,            0.019148,                   0,            0.006865,            0.006865,            0.006865
                  21,            0.056329,            0.030617,                   0,             0.46047,             0.63333,             0.51451,             0.16891,            0.050677,            0.019148,                   0,              0.0067,              0.0067,              0.0067
                  22,            0.056177,            0.027376,                   0,             0.48207,                 0.6,             0.52095,             0.19717,            0.049301,              0.0189,                   0,            0.006535,            0.006535,            0.006535
                  23,            0.053412,            0.029952,                   0,             0.48207,                 0.6,             0.52095,             0.19717,            0.049301,              0.0189,                   0,             0.00637,             0.00637,             0.00637
                  24,            0.053187,            0.030772,                   0,             0.73453,             0.53333,             0.65434,             0.21759,             0.04895,             0.01874,                   0,            0.006205,            0.006205,            0.006205
                  25,            0.047521,            0.028855,                   0,             0.73453,             0.53333,             0.65434,             0.21759,             0.04895,             0.01874,                   0,             0.00604,             0.00604,             0.00604
                  26,            0.051509,            0.031591,                   0,             0.47849,                 0.6,             0.57102,              0.2177,             0.04924,              0.0185,                   0,            0.005875,            0.005875,            0.005875
                  27,            0.047429,            0.026592,                   0,             0.53919,             0.56667,             0.55741,             0.20274,            0.051444,             0.01846,                   0,             0.00571,             0.00571,             0.00571
                  28,            0.054803,            0.029551,                   0,             0.53919,             0.56667,             0.55741,             0.20274,            0.051444,             0.01846,                   0,            0.005545,            0.005545,            0.005545
                  29,            0.053176,            0.026239,                   0,              0.5694,             0.46667,             0.58779,             0.21872,            0.049162,            0.018445,                   0,             0.00538,             0.00538,             0.00538
                  30,            0.048849,            0.027882,                   0,              0.5694,             0.46667,             0.58779,             0.21872,            0.049162,            0.018445,                   0,            0.005215,            0.005215,            0.005215
                  31,            0.049879,            0.025849,                   0,             0.60516,             0.61333,             0.61931,             0.23101,            0.048273,            0.018222,                   0,             0.00505,             0.00505,             0.00505
                  32,            0.046715,            0.024345,                   0,             0.65882,                 0.6,             0.65182,             0.27137,            0.050469,            0.017445,                   0,            0.004885,            0.004885,            0.004885
                  33,            0.049241,            0.029349,                   0,             0.65882,                 0.6,             0.65182,             0.27137,            0.050469,            0.017445,                   0,             0.00472,             0.00472,             0.00472
                  34,            0.051281,            0.027719,                   0,             0.70466,             0.73333,             0.72977,             0.32746,              0.0464,            0.017716,                   0,            0.004555,            0.004555,            0.004555
                  35,            0.048398,            0.027577,                   0,             0.70466,             0.73333,             0.72977,             0.32746,              0.0464,            0.017716,                   0,             0.00439,             0.00439,             0.00439
                  36,            0.051442,            0.030098,                   0,             0.75693,             0.62311,             0.67059,               0.291,            0.046195,            0.017898,                   0,            0.004225,            0.004225,            0.004225
                  37,            0.046769,            0.025098,                   0,             0.64593,              0.7298,             0.73175,              0.2664,             0.04591,            0.017234,                   0,             0.00406,             0.00406,             0.00406
                  38,            0.047814,            0.025103,                   0,             0.64593,              0.7298,             0.73175,              0.2664,             0.04591,            0.017234,                   0,            0.003895,            0.003895,            0.003895
                  39,               0.047,            0.025303,                   0,             0.68954,                 0.7,             0.67741,             0.25506,             0.04731,            0.017037,                   0,             0.00373,             0.00373,             0.00373
                  40,            0.045549,            0.021493,                   0,             0.68954,                 0.7,             0.67741,             0.25506,             0.04731,            0.017037,                   0,            0.003565,            0.003565,            0.003565
                  41,            0.048736,            0.027192,                   0,              0.6159,             0.73333,             0.66466,              0.2518,            0.047772,            0.017206,                   0,              0.0034,              0.0034,              0.0034
                  42,            0.047368,            0.023679,                   0,              0.6685,             0.63333,             0.67328,             0.28439,            0.046018,            0.017129,                   0,            0.003235,            0.003235,            0.003235
                  43,            0.046803,            0.025737,                   0,              0.6685,             0.63333,             0.67328,             0.28439,            0.046018,            0.017129,                   0,             0.00307,             0.00307,             0.00307
                  44,            0.045217,             0.02792,                   0,             0.71517,             0.75352,             0.75603,             0.31488,            0.045325,            0.017311,                   0,            0.002905,            0.002905,            0.002905
                  45,            0.046014,            0.026382,                   0,             0.71517,             0.75352,             0.75603,             0.31488,            0.045325,            0.017311,                   0,             0.00274,             0.00274,             0.00274
                  46,            0.044744,             0.02478,                   0,             0.76372,                 0.8,             0.78912,             0.31346,            0.045062,            0.017288,                   0,            0.002575,            0.002575,            0.002575
                  47,            0.046047,            0.028439,                   0,             0.72281,             0.76667,             0.79643,             0.34594,            0.043936,            0.017305,                   0,             0.00241,             0.00241,             0.00241
                  48,              0.0495,            0.028519,                   0,             0.72281,             0.76667,             0.79643,             0.34594,            0.043936,            0.017305,                   0,            0.002245,            0.002245,            0.002245
